symbol, avg_price, max_change, avg_atr, stddev_atr, avg_volume
AACC, 6.1402, 0.2146, 0.0094, 0.0125, 1801.0000
AAN, 28.4398, 0.0985, 0.0165, 0.0093, 1417.0000
AAON, 26.7720, 0.3343, 0.0385, 0.0219, 553.0000
AAPL, 430.2106, 0.0454, 0.2128, 0.1020, 30444.0000
AAP, 83.2163, 0.0142, 0.0385, 0.0179, 1662.0000
AAT, 32.8851, 0.0154, 0.0253, 0.0115, 738.0000
AAU, 2.2583, 0.1576, 0.0078, 0.0029, 1653.0000
AAV, 3.7280, 0.0472, 0.0048, 0.0017, 1989.0000
AAWW, 43.3472, 0.0759, 0.0382, 0.0175, 1038.0000
AAXJ, 57.5160, 0.0332, 0.0162, 0.0082, 1738.0000
AA, 8.2108, 0.0167, 0.0051, 0.0016, 39496.0000
ABAX, 45.9289, 0.0650, 0.0505, 0.0198, 657.0000
ABBV, 43.9806, 0.0207, 0.0246, 0.0113, 10182.0000
ABB, 22.1069, 0.0414, 0.0082, 0.0033, 4608.0000
ABCB, 14.7432, 0.0541, 0.0277, 0.0119, 735.0000
ABCO, 51.5452, 0.0534, 0.0409, 0.0183, 961.0000
ABC, 55.3721, 0.0170, 0.0208, 0.0094, 5799.0000
ABFS, 18.2735, 0.2351, 0.0232, 0.0119, 1957.0000
ABG, 40.1341, 0.0746, 0.0430, 0.0203, 928.0000
ABIO, 1.4200, 4.5556, 0.0114, 0.0124, 4412.0000
ABMD, 20.9760, 0.0796, 0.0188, 0.0090, 1313.0000
ABM, 23.3874, 0.0435, 0.0150, 0.0076, 911.0000
ABR, 7.2954, 0.0547, 0.0076, 0.0034, 1322.0000
ABT, 36.3568, 0.0170, 0.0162, 0.0069, 16134.0000
ABV.C, 40.7494, 0.0960, 0.0560, 0.0205, 435.0000
ABV, 37.9334, 0.0329, 0.0205, 0.0092, 7724.0000
ABX, 17.8883, 0.0732, 0.0175, 0.0079, 46187.0000
AB, 23.1300, 0.6192, 0.0246, 0.0227, 1482.0000
ACAD, 16.9263, 0.0744, 0.0229, 0.0111, 8630.0000
ACAS, 13.3083, 0.0727, 0.0073, 0.0038, 7883.0000
ACAT, 44.9981, 0.0546, 0.0432, 0.0213, 789.0000
ACCL, 9.0317, 0.1302, 0.0075, 0.0041, 997.0000
ACCO, 6.8446, 0.0343, 0.0065, 0.0024, 2020.0000
ACC, 41.6105, 0.0614, 0.0212, 0.0117, 1999.0000
ACET, 11.9393, 0.0861, 0.0154, 0.0061, 771.0000
ACE, 90.4181, 0.0129, 0.0302, 0.0138, 3600.0000
ACFN, 7.7816, 0.1475, 0.0187, 0.0093, 687.0000
ACGL, 52.5917, 0.0173, 0.0184, 0.0086, 1527.0000
ACG, 7.8481, 0.0237, 0.0044, 0.0013, 3253.0000
ACHC, 33.3786, 0.0763, 0.0318, 0.0132, 1208.0000
ACHN, 7.4434, 0.2165, 0.0088, 0.0063, 3571.0000
ACH, 10.0845, 0.0675, 0.0084, 0.0040, 756.0000
ACIW, 45.8864, 0.0472, 0.0303, 0.0132, 920.0000
ACI, 4.4562, 0.0694, 0.0061, 0.0025, 24472.0000
ACLS, 1.4837, 0.0489, 0.0034, 0.0015, 3283.0000
ACMP, 44.4310, 0.0211, 0.0332, 0.0139, 1109.0000
ACM, 31.1211, 0.0207, 0.0185, 0.0086, 1770.0000
ACN, 78.7396, 0.1116, 0.0315, 0.0213, 7925.0000
ACOM, 31.7816, 0.0289, 0.0044, 0.0038, 3524.0000
ACOR, 35.2704, 0.0212, 0.0353, 0.0144, 1282.0000
ACO, 31.2634, 0.0290, 0.0472, 0.0142, 579.0000
ACPW, 3.5844, 4.1471, 0.0149, 0.0112, 1484.0000
ACP, 18.4232, 0.0406, 0.0167, 0.0090, 689.0000
ACRE, 15.0741, 0.0356, 0.0196, 0.0115, 1487.0000
ACRX, 8.7741, 0.1765, 0.0187, 0.0114, 1990.0000
ACTG, 23.8915, 0.1111, 0.0204, 0.0121, 2116.0000
ACTS, 2.5605, 0.0476, 0.0066, 0.0038, 1224.0000
ACTV, 6.7155, 0.0233, 0.0076, 0.0039, 1670.0000
ACT, 124.2780, 0.0204, 0.0656, 0.0412, 4150.0000
ACUR, 2.2544, 0.8182, 0.0102, 0.0204, 3486.0000
ACWI, 51.9569, 0.0178, 0.0130, 0.0073, 3491.0000
ACWV, 60.7626, 0.0207, 0.0338, 0.0190, 940.0000
ACWX, 42.8541, 0.0227, 0.0149, 0.0075, 1693.0000
ACW, 5.2881, 0.0563, 0.0069, 0.0029, 1068.0000
ACXM, 22.1451, 0.0483, 0.0147, 0.0074, 1403.0000
ADBE, 45.1764, 0.0637, 0.0182, 0.0098, 8100.0000
ADC, 29.9247, 0.0444, 0.0297, 0.0120, 504.0000
ADEP, 3.4446, 0.2742, 0.0235, 0.0120, 1331.0000
ADES, 29.0522, 0.0879, 0.0627, 0.0285, 563.0000
ADGE, 1.7572, 0.0762, 0.0070, 0.0039, 652.0000
ADI, 46.2559, 0.0189, 0.0182, 0.0088, 5004.0000
ADK, 4.8244, 0.4558, 0.0244, 0.0119, 1275.0000
ADM, 34.2874, 0.0167, 0.0142, 0.0062, 7827.0000
ADNC, 14.4103, 0.0711, 0.0181, 0.0092, 956.0000
ADP, 70.2622, 0.0114, 0.0207, 0.0089, 4467.0000
ADRE, 38.2816, 0.0317, 0.0237, 0.0117, 592.0000
ADSK, 36.0683, 0.0855, 0.0186, 0.0121, 7119.0000
ADS, 180.3091, 0.0147, 0.0871, 0.0332, 1867.0000
ADTN, 23.7492, 0.0492, 0.0163, 0.0093, 2234.0000
ADT, 41.2412, 0.0202, 0.0199, 0.0087, 7477.0000
ADUS, 16.2334, 0.1071, 0.0346, 0.0197, 797.0000
ADVS, 30.4636, 0.2531, 0.0272, 0.0168, 962.0000
ADX, 11.6074, 0.0217, 0.0059, 0.0022, 1099.0000
ADY, 7.0388, 0.0239, 0.0058, 0.0040, 891.0000
AEB, 24.1723, 0.0379, 0.0322, 0.0175, 459.0000
AEC, 16.8137, 0.0489, 0.0099, 0.0047, 2248.0000
AED, 25.0672, 0.0168, 0.0126, 0.0069, 670.0000
AEE, 34.7159, 0.0118, 0.0144, 0.0064, 4049.0000
AEF, 25.4124, 0.0194, 0.0121, 0.0061, 745.0000
AEGN, 22.7261, 0.0443, 0.0260, 0.0116, 997.0000
AEGR, 63.1921, 0.0823, 0.0806, 0.0437, 2187.0000
AEG, 6.8388, 0.0402, 0.0048, 0.0016, 3598.0000
AEH, 25.7160, 0.0304, 0.0175, 0.0081, 713.0000
AEIS, 18.5787, 0.0509, 0.0177, 0.0080, 1200.0000
AEK, 28.2378, 0.0227, 0.0248, 0.0123, 719.0000
AEL, 16.1978, 0.0173, 0.0085, 0.0036, 1660.0000
AEM, 29.0808, 0.0745, 0.0300, 0.0133, 4976.0000
AEO, 19.2313, 0.0202, 0.0104, 0.0055, 6354.0000
AEPI, 68.5410, 0.0710, 0.1276, 0.0523, 298.0000
AEP, 46.2969, 0.0203, 0.0186, 0.0092, 7384.0000
AERL, 4.1767, 0.2935, 0.0126, 0.0070, 1532.0000
AER, 16.6846, 0.0137, 0.0104, 0.0047, 1131.0000
AES, 12.3915, 0.0161, 0.0075, 0.0028, 12436.0000
AET, 61.8145, 0.0166, 0.0265, 0.0123, 6945.0000
AEV, 25.1846, 0.0162, 0.0131, 0.0062, 649.0000
AEZS, 2.2439, 0.8000, 0.0060, 0.0038, 3307.0000
AE, 50.3850, 0.1071, 0.2042, 0.0830, 248.0000
AFAM, 20.0127, 0.1179, 0.0326, 0.0129, 472.0000
AFA, 25.3833, 0.0355, 0.0357, 0.0238, 556.0000
AFB, 14.8132, 0.0169, 0.0115, 0.0053, 968.0000
AFCE, 34.9655, 0.0353, 0.0281, 0.0143, 792.0000
AFC, 25.0992, 0.0133, 0.0186, 0.0110, 516.0000
AFFX, 3.9405, 0.0396, 0.0055, 0.0025, 2862.0000
AFFY, 1.2047, 8.8000, 0.0051, 0.0043, 18885.0000
AFF, 25.3064, 0.0694, 0.0117, 0.0077, 782.0000
AFG, 48.9619, 0.0105, 0.0190, 0.0080, 1042.0000
AFK, 29.9734, 0.0329, 0.0335, 0.0154, 759.0000
AFL, 57.0537, 0.0130, 0.0246, 0.0113, 6130.0000
AFOP, 20.7623, 0.1109, 0.0464, 0.0274, 908.0000
AFSD, 25.5029, 0.0221, 0.0218, 0.0123, 808.0000
AFSI, 34.7372, 0.0417, 0.0210, 0.0118, 1390.0000
AFT, 19.6430, 0.0311, 0.0177, 0.0073, 668.0000
AFW, 26.0369, 0.0223, 0.0325, 0.0153, 507.0000
AF, 10.4745, 0.0141, 0.0064, 0.0026, 1564.0000
AGCO, 54.0615, 0.0204, 0.0258, 0.0123, 2138.0000
AGC, 7.0703, 0.0244, 0.0044, 0.0021, 867.0000
AGD, 4.9221, 0.1172, 0.0042, 0.0021, 1507.0000
AGEN, 4.1255, 0.2903, 0.0099, 0.0070, 1160.0000
AGG, 108.5372, 0.0079, 0.0109, 0.0050, 2939.0000
AGII, 41.2490, 0.0975, 0.0412, 0.0208, 521.0000
AGI, 13.1194, 0.0946, 0.0307, 0.0137, 502.0000
AGM, 32.3660, 0.0417, 0.0584, 0.0200, 412.0000
AGNCP, 25.9094, 0.0359, 0.0279, 0.0185, 900.0000
AGNC, 24.5329, 0.0566, 0.0183, 0.0133, 26838.0000
AGN, 94.7440, 0.0557, 0.0451, 0.0253, 7003.0000
AGO, 22.7719, 0.0304, 0.0141, 0.0072, 4945.0000
AGP, 91.7821, 0.0011, 0.0046, 0.0016, 1693.0000
AGQ, 20.4567, 0.1355, 0.0211, 0.0131, 5137.0000
AGRO, 7.3124, 0.1127, 0.0072, 0.0036, 1354.0000
AGU, 89.8803, 0.0165, 0.0442, 0.0193, 2189.0000
AGX, 16.9840, 0.0981, 0.0286, 0.0130, 531.0000
AGYS, 10.6167, 0.0989, 0.0233, 0.0102, 569.0000
AGZ, 112.7327, 0.0089, 0.0437, 0.0248, 525.0000
AG, 11.0713, 0.0757, 0.0148, 0.0064, 3174.0000
AHC, 5.9379, 0.0353, 0.0105, 0.0055, 541.0000
AHGP, 54.7675, 0.0458, 0.1073, 0.0466, 541.0000
AHH, 11.4354, 0.0265, 0.0129, 0.0060, 1078.0000
AHL, 37.4501, 0.0130, 0.0139, 0.0071, 1702.0000
AHS, 14.3103, 0.0181, 0.0153, 0.0066, 1057.0000
AHT, 12.5131, 0.0554, 0.0103, 0.0049, 1846.0000
AH, 10.6319, 0.0201, 0.0087, 0.0043, 1387.0000
AIA, 45.5417, 0.0345, 0.0351, 0.0144, 635.0000
AIB, 24.5515, 0.0516, 0.0265, 0.0197, 827.0000
AIF, 18.4502, 0.0193, 0.0248, 0.0125, 1045.0000
AIG.W, 16.1294, 0.0959, 0.0276, 0.0132, 1445.0000
AIG, 45.2392, 0.0279, 0.0253, 0.0125, 34539.0000
AIMC, 27.2338, 0.0433, 0.0324, 0.0122, 686.0000
AINV, 8.1684, 0.0440, 0.0050, 0.0021, 7074.0000
AIN, 30.8714, 0.0402, 0.0297, 0.0118, 564.0000
AIQ, 12.1949, 4.1008, 0.0378, 0.0335, 654.0000
AIRM, 35.8921, 0.0502, 0.0264, 0.0129, 1742.0000
AIR, 20.1997, 0.0304, 0.0186, 0.0079, 856.0000
AIT, 46.2116, 0.0353, 0.0288, 0.0136, 671.0000
AIV, 30.5290, 0.0156, 0.0154, 0.0078, 3064.0000
AIXG, 14.7447, 0.0957, 0.0152, 0.0077, 920.0000
AIZ, 50.4784, 0.0185, 0.0201, 0.0104, 1402.0000
AI, 26.6976, 0.0262, 0.0219, 0.0102, 899.0000
AJG, 44.1827, 0.0261, 0.0149, 0.0075, 1406.0000
AKAM, 44.5381, 0.0283, 0.0226, 0.0120, 4928.0000
AKG, 2.6389, 0.0817, 0.0087, 0.0035, 1060.0000
AKO.B, 38.0844, 0.0518, 0.0805, 0.0348, 438.0000
AKP, 14.3617, 0.0290, 0.0150, 0.0063, 618.0000
AKRX, 14.1132, 0.1050, 0.0111, 0.0068, 1971.0000
AKR, 26.6533, 0.0170, 0.0158, 0.0071, 1207.0000
AKS, 3.3705, 0.0392, 0.0050, 0.0017, 12922.0000
ALB, 64.0695, 0.0431, 0.0326, 0.0163, 1825.0000
ALCO, 41.5552, 0.0519, 0.1260, 0.0499, 342.0000
ALC, 11.5536, 0.2216, 0.0051, 0.0049, 1752.0000
ALDW, 23.6262, 0.0551, 0.0377, 0.0166, 1299.0000
ALD, 51.9076, 0.0579, 0.0219, 0.0197, 1322.0000
ALEX, 37.0524, 0.0291, 0.0326, 0.0118, 666.0000
ALE, 49.5290, 0.0162, 0.0302, 0.0119, 652.0000
ALGN, 37.1310, 0.1125, 0.0244, 0.0159, 2399.0000
ALGT, 92.7093, 0.0411, 0.0983, 0.0409, 611.0000
ALG, 37.4100, 0.0464, 0.0680, 0.0317, 352.0000
ALIM, 3.7842, 0.8182, 0.0187, 0.0118, 1123.0000
ALJ, 16.0095, 0.0544, 0.0144, 0.0078, 1589.0000
ALKS, 30.2411, 0.0887, 0.0277, 0.0158, 3622.0000
ALK, 58.0287, 0.0291, 0.0424, 0.0205, 2509.0000
ALLT, 12.5831, 0.0696, 0.0140, 0.0068, 1654.0000
ALL, 48.9765, 0.0129, 0.0174, 0.0081, 7986.0000
ALNY, 32.3871, 0.1511, 0.0337, 0.0246, 1949.0000
ALOG, 75.3530, 0.0756, 0.0846, 0.0376, 492.0000
ALR, 26.0920, 0.0332, 0.0149, 0.0078, 1708.0000
ALSK, 1.8059, 0.1555, 0.0047, 0.0027, 2775.0000
ALSN, 23.2646, 0.0756, 0.0179, 0.0088, 1018.0000
ALTE, 30.8973, 0.0320, 0.0101, 0.0059, 2165.0000
ALTR, 33.4368, 0.0248, 0.0160, 0.0076, 7556.0000
ALU, 1.7593, 0.1154, 0.0039, 0.0013, 31827.0000
ALVR, 1.0068, 9.1634, 0.0068, 0.0088, 3375.0000
